Time;Item;Looter;GP Action;ID
2020-08-16 20:03:10;[Boots of Transcendence];Arlis;Bank-D/E;16919
2020-08-16 20:03:16;[Black Brood Pauldrons];Arlis;Bank-D/E;19373
2020-08-16 20:03:21;[Boots of Transcendence];Arlis;Bank-D/E;16919
2020-08-16 20:12:12;[Nemesis Gloves];Arlis;Bank-D/E;16928
2020-08-16 20:12:35;[Firemaw's Clutch];Lomeluin;Offspec GP;19400
2020-08-16 20:25:39;[Drake Fang Talisman];Arlis;Mainspec GP;19406
2020-08-16 20:26:10;[Handguards of Transcendence];Faine;Offspec GP;16920
2020-08-16 20:28:17;[Bloodfang Gloves];Arlis;Bank-D/E;16907
2020-08-16 20:28:38;[Emberweave Leggings];Crayven;Offspec GP;19433
2020-08-16 20:33:01;[Stormrage Pauldrons];Arlis;Bank-D/E;16902
2020-08-16 20:33:09;[Girdle of the Fallen Crusader];Nadila;Offspec GP;19392
2020-08-16 20:33:34;[Pauldrons of Wrath];Pitscher;Offspec GP;16961
2020-08-16 20:33:57;[Empowered Leggings];Tsubaky;Mainspec GP;19385
2020-08-16 20:40:50;[Neltharion's Tear];Lomeluin;Mainspec GP;19379
2020-08-16 20:41:15;[Netherwind Robes];Aionara;Mainspec GP;16916
2020-08-16 20:41:38;[Breastplate of Wrath];Hunksfox;Offspec GP;16966
2020-08-16 20:42:04;[Cloak of the Brood Lord];Aionara;Mainspec GP;19378
2020-08-16 20:42:41;[Head of Nefarian];Radogan;Offspec GP;19002
2020-08-23 20:23:56;[Gloves of Enforcement];Nessy;Mainspec GP;21672
2020-08-23 20:24:23;[Thick Qirajihide Belt];Arlis;Offspec GP;21675
2020-08-23 20:37:55;[Robes of the Guardian Saint];Highwalker;Mainspec GP;21663
2020-08-23 20:38:40;[Fetish of the Sand Reaver];Arlis;Bank-D/E;21647
2020-08-23 22:29:26;[Vek'lor's Diadem];Nessy;Mainspec GP;20930
2020-08-23 22:30:08;[Royal Qiraji Belt];Naiko;Bank-D/E;21598
2020-08-23 22:30:47;[Vek'nilash's Circlet];Sorci;Mainspec GP;20926
2020-08-23 22:31:29;[Amulet of Vek'nilash];Riese;Mainspec GP;21608
2020-08-23 22:32:31;[Imperial Qiraji Regalia];Nadila;Mainspec GP;21237
2020-08-23 22:49:38;[Hive Defiler Wristguards];Pitscher;Mainspec GP;21618
2020-08-23 22:50:29;[Qiraji Bindings of Dominance];Sorci;Mainspec GP;20932
2020-08-23 22:50:59;[Qiraji Bindings of Command];Naiko;Mainspec GP;20928
2020-08-23 23:13:24;[Ooze-ridden Gauntlets];Nadila;Offspec GP;21691
2020-08-23 23:14:00;[Cape of the Trinity];Mastarc;Mainspec GP;21697
2020-08-27 20:16:47;[Dragonstalker's Bracers];Arlis;Bank-D/E;16935
2020-08-27 20:17:07;[Bracelets of Wrath];Tamu;Offspec GP;16959
2020-08-27 20:17:43;[The Untamed Blade];Tasêrfacê;Offspec GP;19334
2020-08-27 20:21:51;[Stormrage Belt];Druidicas;Offspec GP;16903
2020-08-27 20:22:28;[Helm of Endless Rage];Pitscher;Mainspec GP;19372
2020-08-27 20:22:49;[Nemesis Belt];Arlis;Bank-D/E;16933
2020-08-27 20:39:26;[Head of the Broodlord Lashlayer];Wysiwyg;Bank-D/E;20383
2020-08-27 20:39:52;[Nemesis Boots];Arlis;Bank-D/E;16927
2020-08-27 20:40:17;[Dragonstalker's Greaves];Arlis;Bank-D/E;16941
2020-08-27 20:41:18;[Lifegiving Gem];Nadila;Mainspec GP;19341
2020-08-27 20:50:10;[Drake Talon Pauldrons];Tasêrfacê;Mainspec GP;19394
2020-08-27 20:50:37;[Firemaw's Clutch];Aionara;Mainspec GP;19400
2020-08-27 21:06:59;[Rejuvenating Gem];Radogan;Mainspec GP;19395
2020-08-27 21:07:40;[Dragonbreath Hand Cannon];Naiko;Offspec GP;19368
2020-08-27 21:09:58;[Ring of Blackrock];Druidicas;Bank-D/E;19397
2020-08-27 21:12:29;[Interlaced Shadow Jerkin];Arlis;Bank-D/E;19439
2020-08-27 21:17:41;[Chromatic Boots];Nadila;Mainspec GP;19387
2020-08-27 21:18:58;[Pauldrons of Wrath];Tamu;Offspec GP;16961
2020-08-27 21:19:13;[Bloodfang Spaulders];Gnomling;Offspec GP;16832
2020-08-27 21:19:38;[Claw of Chromaggus];Schmutzigé;Mainspec GP;19347
2020-08-27 21:28:11;[Crul'shorukh, Edge of Chaos];Tasêrfacê;Mainspec GP;19363
2020-08-27 21:29:05;[Staff of the Shadow Flame];Harcort;Mainspec GP;19356
2020-08-27 21:29:21;[Nemesis Robes];Harcort;Offspec GP;16931
2020-08-27 21:29:26;[Nemesis Robes];Arlis;Bank-D/E;16931
2020-08-27 21:30:49;[Head of Nefarian];Druidicas;Bank-D/E;19002
2020-08-27 21:50:59;[Nightslayer Cover];Arlis;Bank-D/E;16821
2020-08-27 21:51:14;[Lawbringer Helm];Arlis;Bank-D/E;16854
2020-08-30 19:41:44;[Boots of the Unwavering Will];Tasêrfacê;Offspec GP;21706
2020-08-30 19:42:11;[Amulet of Foul Warding];Pitscher;Offspec GP;21702
2020-08-30 19:57:45;[Legplates of Blazing Light];Trezôr;Offspec GP;21667
2020-08-30 20:03:47;[Barb of the Sand Reaver];Choult;Mainspec GP;21635
2020-08-30 20:04:27;[Barbed Choker];Crayven;Mainspec GP;21664
2020-08-30 20:10:31;[Ritssyn's Ring of Chaos];Belesh;Mainspec GP;21836
2020-08-30 20:16:01;[Qiraji Bindings of Command];Naiko;Mainspec GP;20928
2020-08-30 20:16:43;[Qiraji Bindings of Dominance];Riese;Mainspec GP;20932
2020-08-30 20:17:12;[Huhuran's Stinger];Morti;Offspec GP;21616
2020-08-30 20:51:36;[Vek'nilash's Circlet];Nadila;Mainspec GP;20926
2020-08-30 20:52:05;[Regenerating Belt of Vek'nilash];Tasêrfacê;Offspec GP;21609
2020-08-30 20:52:51;[Vek'lor's Diadem];Fein;Mainspec GP;20930
2020-08-30 20:53:13;[Vek'lor's Gloves of Devastation];Choult;Mainspec GP;21599
2020-08-30 21:22:41;[Gloves of the Redeemed Prophecy];Trezôr;Offspec GP;21889
2020-08-30 21:32:47;[Shard of the Fallen Star];Chokeon;Offspec GP;21891
2020-08-30 22:06:42;[Grasp of the Old God];Radogan;Mainspec GP;21582
2020-08-30 22:07:11;[Dark Storm Gauntlets];Xzoe;Mainspec GP;21585
2020-08-30 22:08:07;[Eye of C'Thun];Belesh;Mainspec GP;21221
2020-08-30 22:09:00;[Husk of the Old God];Aionara;Mainspec GP;20933
2020-08-30 22:09:44;[Carapace of the Old God];Naiko;Mainspec GP;20929
2020-08-30 22:25:07;[The Burrower's Shell];Trezôr;Offspec GP;23558
2020-08-30 22:25:37;[Skin of the Great Sandworm];Fein;Mainspec GP;20931
2020-08-30 22:26:17;[Ouro's Intact Hide];Zann;Mainspec GP;20927
2020-08-30 22:42:44;[Guise of the Devourer];Arlis;Mainspec GP;21693
2020-08-30 22:43:11;[Boots of the Fallen Hero];Tamu;Mainspec GP;21688
2020-09-03 20:21:41;[Netherwind Belt];Mastarc;Mainspec GP;16818
2020-09-03 20:22:01;[Helm of Endless Rage];Nadila;Offspec GP;19372
2020-09-03 20:22:14;[Stormrage Belt];Maro;Bank-D/E;16903
2020-09-03 20:24:37;[Draconic Maul];Maro;Bank-D/E;19358
2020-09-03 20:33:07;[Bracers of Arcane Accuracy];Mastarc;Mainspec GP;19374
2020-09-03 20:33:40;[Sabatons of Wrath];Nadila;Offspec GP;16965
2020-09-03 20:34:10;[Netherwind Boots];Mastarc;Mainspec GP;16912
2020-09-03 20:42:40;[Judgement Gauntlets];Maro;Bank-D/E;16956
2020-09-03 20:43:50;[Essence Gatherer];Faine;Offspec GP;19435
2020-09-03 20:54:15;[Draconic Avenger];Maro;Bank-D/E;19354
2020-09-03 20:57:16;[Ring of Blackrock];Aionara;Mainspec GP;19397
2020-09-03 20:57:33;[Malfurion's Blessed Bulwark];Nadila;Offspec GP;19405
2020-09-03 20:59:30;[Handguards of Transcendence];Maro;Bank-D/E;16920
2020-09-03 21:00:11;[Dragon's Touch];Tsubaky;Mainspec GP;19367
2020-09-03 21:06:31;[Chromatic Boots];Pitscher;Mainspec GP;19387
2020-09-03 21:06:52;[Bloodfang Spaulders];Sorciyo;Offspec GP;16832
2020-09-03 21:07:13;[Netherwind Mantle];Schmutzigé;Mainspec GP;16917
2020-09-03 21:07:27;[Taut Dragonhide Gloves];Maro;Bank-D/E;19390
2020-09-03 21:15:52;[Cloak of the Brood Lord];Xzoe;Mainspec GP;19378
2020-09-03 21:16:27;[Head of Nefarian];Harcort;Offspec GP;19002
2020-09-03 21:16:47;[Nemesis Robes];Avón;Bank-D/E;16931
2020-09-03 21:16:53;[Stormrage Chestguard];Maro;Bank-D/E;16897
2020-09-06 19:41:49;[Breastplate of Annihilation];Nithalf;Mainspec GP;21814
2020-09-06 19:42:20;[Pendant of the Qiraji Guardian];Nadila;Offspec GP;21700
2020-09-06 19:53:48;[Sartura's Might];Highwalker;Mainspec GP;21666
2020-09-06 19:54:27;[Gauntlets of Steadfast Determination];Naiko;Offspec GP;21674
2020-09-06 19:59:37;[Cloak of Untold Secrets];Riese;Offspec GP;21627
2020-09-06 19:59:57;[Barbed Choker];Tamu;Mainspec GP;21664
